time,x,Density,Sulfur
0,0,860,0.9
0,5,860,0.9
0,10,860,0.9
0,15,860,0.9
0,20,860,0.9
0,25,860,0.9
0,30,860,0.9
0,35,860,0.9
0,40,860,0.9
0,45,860,0.9
0,50,860,0.9
0,55,860,0.9
0,60,860,0.9
0,65,860,0.9
0,70,860,0.9
0,75,860,0.9
0,80,860,0.9
0,85,860,0.9
0,90,860,0.9
0,95,860,0.9
0,100,860,0.9
0.5,0,860,0.9
0.5,5,860,0.9
0.5,10,860,0.9
0.5,15,860,0.9
0.5,20,860,0.9
0.5,25,860,0.9
0.5,30,860,0.9
0.5,35,860,0.9
0.5,40,860,0.9
0.5,45,860,0.9
0.5,50,860,0.9
0.5,55,860,0.9
0.5,60,860,0.9
0.5,65,860,0.9
0.5,70,860,0.9
0.5,75,860,0.9
0.5,80,860,0.9
0.5,85,860,0.9
0.5,90,860,0.9
0.5,95,860,0.9
0.5,100,880,1.2
1,0,860,0.9
1,5,860,0.9
1,10,860,0.9
1,15,860,0.9
1,20,860,0.9
1,25,860,0.9
1,30,860,0.9
1,35,860,0.9
1,40,860,0.9
1,45,860,0.9
1,50,860,0.9
1,55,860,0.9
1,60,860,0.9
1,65,860,0.9
1,70,860,0.9
1,75,860,0.9
1,80,860,0.9
1,85,860,0.9
1,90,860,0.9
1,95,880,1.2
1,100,880,1.2
1.5,0,860,0.9
1.5,5,860,0.9
1.5,10,860,0.9
1.5,15,860,0.9
1.5,20,860,0.9
1.5,25,860,0.9
1.5,30,860,0.9
1.5,35,860,0.9
1.5,40,860,0.9
1.5,45,860,0.9
1.5,50,860,0.9
1.5,55,860,0.9
1.5,60,860,0.9
1.5,65,860,0.9
1.5,70,860,0.9
1.5,75,860,0.9
1.5,80,860,0.9
1.5,85,860,0.9
1.5,90,880,1.2
1.5,95,880,1.2
1.5,100,880,1.2
2,0,860,0.9
2,5,860,0.9
2,10,860,0.9
2,15,860,0.9
2,20,860,0.9
2,25,860,0.9
2,30,860,0.9
2,35,860,0.9
2,40,860,0.9
2,45,860,0.9
2,50,860,0.9
2,55,860,0.9
2,60,860,0.9
2,65,860,0.9
2,70,860,0.9
2,75,860,0.9
2,80,860,0.9
2,85,880,1.2
2,90,880,1.2
2,95,880,1.2
2,100,880,1.2
2.5,0,860,0.9
2.5,5,860,0.9
2.5,10,860,0.9
2.5,15,860,0.9
2.5,20,860,0.9
2.5,25,860,0.9
2.5,30,860,0.9
2.5,35,860,0.9
2.5,40,860,0.9
2.5,45,860,0.9
2.5,50,860,0.9
2.5,55,860,0.9
2.5,60,860,0.9
2.5,65,860,0.9
2.5,70,860,0.9
2.5,75,860,0.9
2.5,80,880,1.2
2.5,85,880,1.2
2.5,90,880,1.2
2.5,95,880,1.2
2.5,100,880,1.2
3,0,860,0.9
3,5,860,0.9
3,10,860,0.9
3,15,860,0.9
3,20,860,0.9
3,25,860,0.9
3,30,860,0.9
3,35,860,0.9
3,40,860,0.9
3,45,860,0.9
3,50,860,0.9
3,55,860,0.9
3,60,860,0.9
3,65,860,0.9
3,70,860,0.9
3,75,880,1.2
3,80,880,1.2
3,85,880,1.2
3,90,880,1.2
3,95,880,1.2
3,100,880,1.2
3.5,0,860,0.9
3.5,5,860,0.9
3.5,10,860,0.9
3.5,15,860,0.9
3.5,20,860,0.9
3.5,25,860,0.9
3.5,30,860,0.9
3.5,35,860,0.9
3.5,40,860,0.9
3.5,45,860,0.9
3.5,50,860,0.9
3.5,55,860,0.9
3.5,60,860,0.9
3.5,65,860,0.9
3.5,70,880,1.2
3.5,75,880,1.2
3.5,80,880,1.2
3.5,85,880,1.2
3.5,90,880,1.2
3.5,95,880,1.2
3.5,100,880,1.2
4,0,860,0.9
4,5,860,0.9
4,10,860,0.9
4,15,860,0.9
4,20,860,0.9
4,25,860,0.9
4,30,860,0.9
4,35,860,0.9
4,40,860,0.9
4,45,860,0.9
4,50,860,0.9
4,55,860,0.9
4,60,860,0.9
4,65,880,1.2
4,70,880,1.2
4,75,880,1.2
4,80,880,1.2
4,85,880,1.2
4,90,880,1.2
4,95,880,1.2
4,100,880,1.2
4.5,0,860,0.9
4.5,5,860,0.9
4.5,10,860,0.9
4.5,15,860,0.9
4.5,20,860,0.9
4.5,25,860,0.9
4.5,30,860,0.9
4.5,35,860,0.9
4.5,40,860,0.9
4.5,45,860,0.9
4.5,50,860,0.9
4.5,55,860,0.9
4.5,60,880,1.2
4.5,65,880,1.2
4.5,70,880,1.2
4.5,75,880,1.2
4.5,80,880,1.2
4.5,85,880,1.2
4.5,90,880,1.2
4.5,95,880,1.2
4.5,100,880,1.2
5,0,860,0.9
5,5,860,0.9
5,10,860,0.9
5,15,860,0.9
5,20,860,0.9
5,25,860,0.9
5,30,860,0.9
5,35,860,0.9
5,40,860,0.9
5,45,860,0.9
5,50,860,0.9
5,55,880,1.2
5,60,880,1.2
5,65,880,1.2
5,70,880,1.2
5,75,880,1.2
5,80,880,1.2
5,85,880,1.2
5,90,880,1.2
5,95,880,1.2
5,100,880,1.2
5.5,0,860,0.9
5.5,5,860,0.9
5.5,10,860,0.9
5.5,15,860,0.9
5.5,20,860,0.9
5.5,25,860,0.9
5.5,30,860,0.9
5.5,35,860,0.9
5.5,40,860,0.9
5.5,45,860,0.9
5.5,50,880,1.2
5.5,55,880,1.2
5.5,60,880,1.2
5.5,65,880,1.2
5.5,70,880,1.2
5.5,75,880,1.2
5.5,80,880,1.2
5.5,85,880,1.2
5.5,90,880,1.2
5.5,95,880,1.2
5.5,100,880,1.2
6,0,860,0.9
6,5,860,0.9
6,10,860,0.9
6,15,860,0.9
6,20,860,0.9
6,25,860,0.9
6,30,860,0.9
6,35,860,0.9
6,40,860,0.9
6,45,880,1.2
6,50,880,1.2
6,55,880,1.2
6,60,880,1.2
6,65,880,1.2
6,70,880,1.2
6,75,880,1.2
6,80,880,1.2
6,85,880,1.2
6,90,880,1.2
6,95,880,1.2
6,100,880,1.2
6.5,0,860,0.9
6.5,5,860,0.9
6.5,10,860,0.9
6.5,15,860,0.9
6.5,20,860,0.9
6.5,25,860,0.9
6.5,30,860,0.9
6.5,35,860,0.9
6.5,40,880,1.2
6.5,45,880,1.2
6.5,50,880,1.2
6.5,55,880,1.2
6.5,60,880,1.2
6.5,65,880,1.2
6.5,70,880,1.2
6.5,75,880,1.2
6.5,80,880,1.2
6.5,85,880,1.2
6.5,90,880,1.2
6.5,95,880,1.2
6.5,100,880,1.2
7,0,860,0.9
7,5,860,0.9
7,10,860,0.9
7,15,860,0.9
7,20,860,0.9
7,25,860,0.9
7,30,860,0.9
7,35,880,1.2
7,40,880,1.2
7,45,880,1.2
7,50,880,1.2
7,55,880,1.2
7,60,880,1.2
7,65,880,1.2
7,70,880,1.2
7,75,880,1.2
7,80,880,1.2
7,85,880,1.2
7,90,880,1.2
7,95,880,1.2
7,100,880,1.2
7.5,0,860,0.9
7.5,5,860,0.9
7.5,10,860,0.9
7.5,15,860,0.9
7.5,20,860,0.9
7.5,25,860,0.9
7.5,30,880,1.2
7.5,35,880,1.2
7.5,40,880,1.2
7.5,45,880,1.2
7.5,50,880,1.2
7.5,55,880,1.2
7.5,60,880,1.2
7.5,65,880,1.2
7.5,70,880,1.2
7.5,75,880,1.2
7.5,80,880,1.2
7.5,85,880,1.2
7.5,90,880,1.2
7.5,95,880,1.2
7.5,100,880,1.2
8,0,860,0.9
8,5,860,0.9
8,10,860,0.9
8,15,860,0.9
8,20,860,0.9
8,25,880,1.2
8,30,880,1.2
8,35,880,1.2
8,40,880,1.2
8,45,880,1.2
8,50,880,1.2
8,55,880,1.2
8,60,880,1.2
8,65,880,1.2
8,70,880,1.2
8,75,880,1.2
8,80,880,1.2
8,85,880,1.2
8,90,880,1.2
8,95,880,1.2
8,100,880,1.2
8.5,0,860,0.9
8.5,5,860,0.9
8.5,10,860,0.9
8.5,15,860,0.9
8.5,20,880,1.2
8.5,25,880,1.2
8.5,30,880,1.2
8.5,35,880,1.2
8.5,40,880,1.2
8.5,45,880,1.2
8.5,50,880,1.2
8.5,55,880,1.2
8.5,60,880,1.2
8.5,65,880,1.2
8.5,70,880,1.2
8.5,75,880,1.2
8.5,80,880,1.2
8.5,85,880,1.2
8.5,90,880,1.2
8.5,95,880,1.2
8.5,100,880,1.2
9,0,860,0.9
9,5,860,0.9
9,10,860,0.9
9,15,880,1.2
9,20,880,1.2
9,25,880,1.2
9,30,880,1.2
9,35,880,1.2
9,40,880,1.2
9,45,880,1.2
9,50,880,1.2
9,55,880,1.2
9,60,880,1.2
9,65,880,1.2
9,70,880,1.2
9,75,880,1.2
9,80,880,1.2
9,85,880,1.2
9,90,880,1.2
9,95,880,1.2
9,100,880,1.2
9.5,0,860,0.9
9.5,5,860,0.9
9.5,10,880,1.2
9.5,15,880,1.2
9.5,20,880,1.2
9.5,25,880,1.2
9.5,30,880,1.2
9.5,35,880,1.2
9.5,40,880,1.2
9.5,45,880,1.2
9.5,50,880,1.2
9.5,55,880,1.2
9.5,60,880,1.2
9.5,65,880,1.2
9.5,70,880,1.2
9.5,75,880,1.2
9.5,80,880,1.2
9.5,85,880,1.2
9.5,90,880,1.2
9.5,95,880,1.2
9.5,100,880,1.2
10,0,860,0.9
10,5,880,1.2
10,10,880,1.2
10,15,880,1.2
10,20,880,1.2
10,25,880,1.2
10,30,880,1.2
10,35,880,1.2
10,40,880,1.2
10,45,880,1.2
10,50,880,1.2
10,55,880,1.2
10,60,880,1.2
10,65,880,1.2
10,70,880,1.2
10,75,880,1.2
10,80,880,1.2
10,85,880,1.2
10,90,880,1.2
10,95,880,1.2
10,100,880,1.2
10.5,0,880,1.2
10.5,5,880,1.2
10.5,10,880,1.2
10.5,15,880,1.2
10.5,20,880,1.2
10.5,25,880,1.2
10.5,30,880,1.2
10.5,35,880,1.2
10.5,40,880,1.2
10.5,45,880,1.2
10.5,50,880,1.2
10.5,55,880,1.2
10.5,60,880,1.2
10.5,65,880,1.2
10.5,70,880,1.2
10.5,75,880,1.2
10.5,80,880,1.2
10.5,85,880,1.2
10.5,90,880,1.2
10.5,95,880,1.2
10.5,100,880,1.2
11,0,880,1.2
11,5,880,1.2
11,10,880,1.2
11,15,880,1.2
11,20,880,1.2
11,25,880,1.2
11,30,880,1.2
11,35,880,1.2
11,40,880,1.2
11,45,880,1.2
11,50,880,1.2
11,55,880,1.2
11,60,880,1.2
11,65,880,1.2
11,70,880,1.2
11,75,880,1.2
11,80,880,1.2
11,85,880,1.2
11,90,880,1.2
11,95,880,1.2
11,100,880,1.2
11.5,0,880,1.2
11.5,5,880,1.2
11.5,10,880,1.2
11.5,15,880,1.2
11.5,20,880,1.2
11.5,25,880,1.2
11.5,30,880,1.2
11.5,35,880,1.2
11.5,40,880,1.2
11.5,45,880,1.2
11.5,50,880,1.2
11.5,55,880,1.2
11.5,60,880,1.2
11.5,65,880,1.2
11.5,70,880,1.2
11.5,75,880,1.2
11.5,80,880,1.2
11.5,85,880,1.2
11.5,90,880,1.2
11.5,95,880,1.2
11.5,100,880,1.2
12,0,880,1.2
12,5,880,1.2
12,10,880,1.2
12,15,880,1.2
12,20,880,1.2
12,25,880,1.2
12,30,880,1.2
12,35,880,1.2
12,40,880,1.2
12,45,880,1.2
12,50,880,1.2
